"loan_amnt","funded_amnt","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","pymnt_plan","url","desc","purpose","title","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","mths_since_last_major_derog","policy_code","is_bad"
20700,20700,"60 months","21.74%",568.66,"F","F5","CHENEY BROTHERS","10+ years","MORTGAGE",67200,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=831100","Borrower added on 08/04/11 > CONSOLIDATION SOME BILLS<br/> Borrower added on 08/04/11 > LOAN IS BEING USED FOR CONSOLIDATION<br/>","debt_consolidation","Debt Consolidation Loan","334xx",21.57,1,"1/1/00",3,21,NA,13,0,12930,64,28,FALSE,NA,8888,1
7000,7000,"36 months","9.88%",225.48,"B","B1","Project Management Institute","3 years","MORTGAGE",45504,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=510581",NA,"debt_consolidation","Water System","190xx",19.04,0,"11/1/01",3,NA,NA,10,0,11761,51.1,21,FALSE,NA,3769,0
12000,12000,"36 months","11.11%",393.5,"B","B5","Central Fl. Lands and Timber","10+ years","MORTGAGE",87360,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=694981",NA,"home_improvement","Home improvement","320xx",6.36,0,"5/1/91",0,66,NA,3,0,5102,72.9,6,FALSE,NA,6187,0
5000,5000,"36 months","7.51%",155.56,"A","A4",NA,"n/a","MORTGAGE",46800,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=549411",NA,"debt_consolidation","arts game","063xx",4.36,0,"12/1/97",3,NA,100,15,1,5642,11.2,26,FALSE,NA,2377,0
2500,2500,"60 months","10.65%",53.93,"B","B2","Sutter Connect","10+ years","RENT",66000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=880906","Borrower added on 09/11/11 > To purchase a 1979 Kawa<br/>null","car","Car Loan","956xx",21.95,0,"7/1/78",3,NA,NA,18,0,35700,52.3,62,FALSE,NA,675,0
1800,1800,"36 months","8.32%",56.68,"A","A4","Self Employed VCF","4 years","MORTGAGE",46000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=349490","This money will help cover the cost of our home study and other related expenses.  So we can add to our family through adoption.    Thank you for reviewing this loan request and God Bless.","other","Domestic Adoption Expenses","321xx",0.65,0,"3/1/06",1,NA,NA,5,0,309,9.1,5,FALSE,NA,314,0
12000,12000,"60 months","13.72%",277.49,"C","C5","My Gym Children's Fitness Center","3 years","RENT",75000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=611571","Borrower added on 11/08/10 > My husband and I are looking to consolidate debts in order to start saving for a home.  We are very responsible people...we just have debts.  We have always paid our bills on time.  We just need help so we can pay our debt off faster.  Thank you.<br/>","debt_consolidation","Paying off debt","111xx",6.42,0,"5/1/97",0,NA,NA,5,0,3443,39.2,14,FALSE,NA,6566,0
6000,6000,"36 months","11.49%",197.83,"B","B4","Sony Online Entertainment","2 years","RENT",25000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=854148","Borrower added on 08/16/11 > Consolidation of 4 debt accounts into one.<br/>null","debt_consolidation","Debt Consolidation","925xx",5.52,0,"7/1/06",3,NA,NA,6,0,5854,43.7,8,FALSE,NA,2846,0
20000,20000,"36 months","14.17%",685.21,"C","C5","Raytheon","6 years","MORTGAGE",95000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=719043","Borrower added on 04/05/11 > I need to update my kitchen.  It is 15 years old and needs new counter tops, flooring and to replace the appliances.<br/>","debt_consolidation","Morgage Pay off","902xx",20.1,1,"1/1/79",1,3,NA,16,0,23646,35.5,32,FALSE,NA,8560,0
3600,3600,"36 months","10.59%",117.17,"B","B2","Wells Fargo Advisors, LLC","< 1 year","OWN",70000,"VERIFIED - income source","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=741259",NA,"debt_consolidation","Debt Consolidation Loan","240xx",12,0,"9/1/01",1,33,NA,11,0,4048,31.2,41,FALSE,NA,1255,1
12000,12000,"36 months","10.37%",389.3,"B","B3","IronWorkers Local 46","8 years","RENT",40000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=663698","Borrower added on 01/26/11 > i will use this this to consolidate all credit cards and loans into one monthly payment to allow me to save more money every month towards a house.","other","debt consolidation","625xx",20.49,0,"7/1/04",3,NA,NA,9,0,4473,68.8,15,FALSE,NA,6140,0
20000,20000,"36 months","11.36%",658.23,"B","B5","ConvaTec Inc.","10+ years","MORTGAGE",185000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=492653","Borrower added on 03/24/10 > This is to help me consolidate and eliminate high interest rate card debt that I have.<br/>","debt_consolidation","Escape credit card insanity - debt consolidation","189xx",8.34,0,"8/1/90",0,NA,NA,10,0,46501,79.8,17,FALSE,NA,8462,0
1700,1700,"36 months","11.12%",55.76,"B","B3",NA,"3 years","RENT",18000,"not verified","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=571409","Borrower added on 08/26/10 > I'm ready to be free of the credit card companies!  I look forward to living a debt-free lifestyle; in the meantime I'd rather my interest money were helping you build your personal financial lifestyle instead of disappearing into a faceless company.<br/><br/>I'm a 27-year-old musician with a successful and growing business as a private music instructor.  Once this debt is gone I will be able to live comfortably at my desired lifestyle on the amount that I'm earning.  This LendingClub loan will allow me a more manageable monthly payment than I currently owe the credit card companies, with a lower interest rate, as well as the inspiration of knowing I'm helping individuals build their dreams while they're helping me build mine.<br/><br/>Thank you for considering my loan!  Take care.<br/>","credit_card","fire the credit card companies","982xx",8.27,0,"11/1/01",0,NA,NA,3,0,2863,71.6,7,FALSE,NA,281,0
25000,25000,"36 months","7.90%",782.26,"A","A4","Multivision Inc","5 years","MORTGAGE",90000,"VERIFIED - income","n","https://www.lendingclub.com/browse/loanDetail.action?loan_id=1040865","Borrower added on 11/27/11 > I am planning on using this money to add a bedroom, wet bar and full bath in my basement so that it can be used for rental purposes.<br>","home_improvement","Home Improvement Loan","207xx",2.44,0,"7/1/03",0,NA,NA,4,0,9227,33.8,20,FALSE,NA,9462,0
